scenario_id,arrival_rate,service_rate,wip_inventory,num_operations,setup_time,due_date_tightness,machine_age,maintenance_interval,technician_availability,supplier_lead_time,inventory_level,demand_variability,scenario_type,pred_linear_regression
1,12,18,8,4,15,0.5,5,150,0.8,5,300,0.25,Current state baseline,159.001343793049
2,12,25,6,4,15,0.5,5,150,0.8,5,300,0.25,Capacity expansion (+39% service rate),146.330944990332
3,12,18,4,4,8,0.5,5,150,0.8,5,300,0.25,Lean manufacturing (reduced WIP/setup),108.571753844641
4,12,18,8,4,15,0.5,2,100,0.9,5,300,0.25,Preventive maintenance focus,159.001343793049
5,12,18,8,4,15,0.5,5,150,0.8,2,450,0.2,Supply chain optimization,159.001343793049
6,12,18,8,4,10,0.75,3,120,0.92,4,350,0.22,Express prioritization shift,176.545534221946
7,18,22,12,4,15,0.5,5,150,0.8,5,400,0.3,Volume increase (+50% arrival),83.4721425004004
8,15,28,5,4,8,0.55,2,100,0.92,2,450,0.18,Full optimization (all improvements),67.0050068615455
9,10,18,6,3,12,0.45,4,140,0.82,4,280,0.22,Simple products focus,141.561870166266
10,8,14,10,6,25,0.55,6,160,0.78,8,350,0.32,Complex products emphasis,310.179010601262
